,title,contract_type,description,salary_max,salary_min,location.display_name,salary_is_predicted,redirect_url,created
10,Internship - Data Analytics / Consulting (m/f/d),,"About the company: OMMAX is a fast-growing digital strategy consultancy in Europe, specializing in digital M&A transactions, strategy consulting and sustainable digital value creation. Over the last 10 years, OMMAX realized 200 M&A deals, with >€15B deal value and 700 international value creation projects for leading private equity firms and ""Mittelstand"" companies in the areas of digital strategy, operational excellence, advanced data analytics, tech and automation. As a front-runner for holis…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3242066867?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=40BE6C11991CB6123FEA558F7E14C16BDC5CFFC0,2022-06-19T17:40:58Z
11,Data Analyst (m/w/d),,"Hersteller-unabhängiges Unternehmen Agiles und spannendes Arbeitsumfeld FirmenprofilMein Kunde ist ein florierendes Unternehmen, das eine digitalisierte sowie weitgehend automatisierte Liefer- und Dienstleistungskette im Industriesektor unterstützt. Ihr Ziel ist es, bis 2025 die führende digitale One-Stop-Shop-Plattform für Stahl, andere Materialien, Ausrüstung und Verarbeitungsdienstleistungen in Europa und Amerika zu werden. Im Auftrag meines Kunden suche ich einen Data Analysten (m/w/d) für …",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916676?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=B030EC22B74416E3E8925B4108BF7E9BF7DDB179,2022-06-20T13:33:18Z
12,Data Engineer (m/w/d),,"Healthcare digitalization Attractive salary and home office possibilities FirmenprofilMy client is a growing HealthTech company working on improving access to health data. For their Berlin location, my client is looking for a Backend Engineer (f/m/d) Infrastructure who has the motivation to grow with the company and manage data structures and the data warehouse.Aufgabengebiet Improvement of the data warehouse and data modelling Implement data pipelines as well as extraction of data Handling ad-…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916166?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=B79917F044AE3B755F55AFAE06E38EB4B9168642,2022-06-20T13:33:12Z
13,Data Engineer (m/w/d),,"Innovative Plattformsysteme Attraktive Vergütung und Home-Office FirmenprofilMein Kunde ist ein wachsendes Dienstleistungsunternehmen im Finanzsektor, welches an innovativen Lösungen in der Software und Technologie arbeitet. Für den Standort in Berlin suche ich einen Data Engineer (m/w/d), der einem hohen Qualitätsanspruch gerecht werden und den gesamten Product-Lifecycle begleiten möchte.Aufgabengebiet Entwicklung von Datenmodellen Umsetzung von ETL-Pipelines und Datenbanken Ausbau von Machine…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916202?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=4C5F18539A29B5C926607A7AE18E954865233D16,2022-06-20T13:33:13Z
14,Data Scientist (m/w/d),,"Digitale Innovation & Transformation Herausragende Work-Life-Balance FirmenprofilMein Kunde ist ein erfolgreicher Anbieter für IT-Dienstleistungen, welcher großen Wert auf Innovation in verschiedenen Branchen legt. Für den Standort in Berlin suche ich einen Data Scientist (m/w/d), der eine Affinität für Transformation hat und die nachhaltige Zukunft unterstützen möchte.Aufgabengebiet Aufbau von Machine Learning-Modellen und Advanced Analytics-Anwendungen Prototypen ausbauen und Strategien erarb…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243914940?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=179B51CE3913F9DD6858B5F54485D094EF986121,2022-06-20T13:32:58Z
15,Python Entwickler im DevOps Team für Big Data und KI gesucht (w/m/d),,"Python Entwickler im DevOps Team für Big Data und KI gesucht (w/m/d)Mit der Expertise für Big Data, Advanced Analytics & Künstliche Intelligenz bieten wir im Netzwerk innerhalb der DB Systel die Erfahrung eines etablierten Unternehmens mit dem Mindset eines Start-Ups. Bei uns gestaltest Du aktiv die Digitalisierung im DB-Konzern und formst entscheidend die digitale Zukunft der Bahn mit. Du arbeitest in agilen Teams, selbstorganisierten Netzwerkstrukturen und mit entsprechendem Gestaltungsspielr…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3242057467?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=0C89FC70B5D9E77E78E426CEE513F588664A732B,2022-06-19T17:39:59Z
16,Berater Digital Consulting SAP - Data Intelligence (w/m/d),,"Berater Digital Consulting SAP - Data Intelligence (w/m/d)Die Deutsche Bahn ist einer der vielfältigsten Arbeitgeberinnen Deutschlands. Jahr für Jahr suchen wir begeisterte Mitarbeiter:innen für vielfältige Aufgaben und Themen, die gemeinsam mit uns Menschen und Märkte bewegen. Als Mitarbeiter:in bei der DB Systel gestaltest Du aktiv die Digitalisierung im Konzern und formst entscheidend die digitale Zukunft der Bahn mit. Dazu arbeitest Du bei uns in agilen, selbstorganisierten Netzwerkstruktur…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3242045044?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=42865698AA9B74DC85DF5CA5277D3B20534E2EFE,2022-06-19T17:38:54Z
17,Dualer Master als Data Architect - Remote (m/w/d),,"Über das Unternehmen: Wir stehen seit mehr als 20 Jahren für den erfolgreichen Transfer von Expertenwissen zwischen Forschung und Wirtschaft. Dabei haben wir uns auf die Rekrutierung von Nachwuchsführungskräften, für die bedarfsgerechte Weiterentwicklung von Potenzialträgern im Unternehmen und die Umsetzung von IT-Projekten im Consultingbereich spezialisiert. Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise. Unser Projektunternehmen sucht Dic…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3242067190?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=69349E752029B5399971E08C26295616101DF957,2022-06-19T17:41:00Z
18,Dualer Master als Data Analyst - Remote (m/w/d),,"Über das Unternehmen: Wir stehen seit mehr als 20 Jahren für den erfolgreichen Transfer von Expertenwissen zwischen Forschung und Wirtschaft. Dabei haben wir uns auf die Rekrutierung von Nachwuchsführungskräften, für die bedarfsgerechte Weiterentwicklung von Potenzialträgern im Unternehmen und die Umsetzung von IT-Projekten im Consultingbereich spezialisiert. Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise. Unser Projektunternehmen sucht Dic…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3242065648?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=4B800FC26A2975E19BB591C0937607E1AF46FC90,2022-06-19T17:40:52Z
19,Praktikum - Data Science / Artificial Intelligence (m/w/d),,"Über das Unternehmen: Wir sind ein international ausgerichtetes Prüfungs- und Beratungsunternehmen und gehört zu den Top Ten der unabhängigen Prüfungs- und Beratungseinheiten in Deutschland. In den Bereichen Wirtschaftsprüfung, Risk Advisory Services (RAS), Corporate Finance / Transaktionsberatung, Corporate Recovery und Steuerberatung werden wir für mittelständische Unternehmen und weltweit agierende Konzerne verschiedener Branchen sowie für vermögende Privatpersonen tätig. Als Teil eines glob…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3242067469?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=982C1F7C91790368C0329222F38E4C8AB8063CFE,2022-06-19T17:41:01Z
20,Privacy Lawyer - Data Protection (d/f/m),,"Ziel der Stelle Unsere Global IT ist nicht nur zentraler Partner des Ottobock Business, sondern auch Enabler und stellt das gesamte Portfolio an Infrastruktur und Anwendungen bereit um unser Business noch besser zu ermöglichen. Der Jurist für Datenschutz wird sowohl die Strategie als auch das Tagesgeschäft des CISOs unterstützen. Aufgaben Steuerung des Tagesgeschäfts der globalen Datenschutzthemen innerhalb des CISO-Bereiches und Sicherstellung, dass die Erwartungen von Einzelpersonen und Aufsi…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3240850018?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=51966FCF0105D0A6E0A8CF522015663A02AA54D6,2022-06-19T06:27:40Z
21,(Senior) Data Analyst (m/w/d),,"Wissenschaftliches Institut Flexible Arbeitseinteilung FirmenprofilMein Kunde ist ein wachsendes Dienstleistungsunternehmen im Gesundheitssektor, welches an einer wirtschaftlichen Gesundheitsversorgung arbeitet. Für den Standort in Berlin suche ich einen Data Analyst (m/w/d), der eine Affinität für die medizinische Versorgung mitbringt und motiviert ist, durch eigenständiges Arbeiten etwas im Gesundheitswesen zu bewegen.Aufgabengebiet Abrufen sowie aufbereiten der Daten aus Datenbanken Sicherer…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916431?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=DBCAB1E0DCA284544AAD1AA02C3DA6DD5A5C9FFC,2022-06-20T13:33:16Z
22,(Senior) Data Engineer (m/f/d),,Renommiertes Medienhaus Data Engineer (m/w/d) im Bereich Business Intelligence & Technology FirmenprofilMein Klient ist ein führender europäischer Medienkonzern. Aktuell liegt der Fokus auf der Transformation AI-basierter Lösungen innerhalb des Unternehmens. Für das Hauptquartier in Berlin suche ich einen Senior Data Engineer (m/f/d).Aufgabengebiet Technisches Management des Produktportfolios Erweiterung der firmeninternen Dateninfrastruktur Ausbau und Automatisierung der cloud-basierten Datenp…,,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916660?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=F74F54C6C36B864D6A2CB6FD76839A1F0C3FD335,2022-06-20T13:33:18Z
23,Teamlead Data Science (m/w/d),,"Aufstrebende IT-Beratung Führungsposition zur Koordination eines Expertenteams FirmenprofilMein Kunde ist ein erfolgreiches Beratungsunternehmen, welches individuelle Lösungen in den Bereichen Künstliche Intelligenz, Data Science und Big Data bietet und durch den geschickten Umgang mit Daten einen Mehrwert für seine Kunden generiert. Für ihn suche ich einen Teamlead Data Science (m/w/d).Aufgabengebiet Führung und Management eigener Accounts und Projekte, sowie die disziplinarische und fachliche…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243917917?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=CACDCE89F2F72D2A9DF3598CD492AA1682DE7115,2022-06-20T13:33:24Z
24,Data Engineer (m/w/d) - Fintech,,"Spannendes Unternehmen im Digital Asset Management Verantwortungsvolle Aufgabe mit Möglichkeiten zur Weiterentwicklung FirmenprofilMein Kunde ist ein aufstrebendes Fintech Unternehmen und bietet verschiedene B2B sowie B2C Lösungen im Digital Banking sowie Asset Management an. Im Zuge eines nachhaltigen Wachstumskurses suche ich aktuell einen ambitionierten Data Engineer (m/w/d), der/die aktiv an der Gestaltung und Weiterentwicklung der BI Abteilung mitwirkt. Die Rolle bietet die Möglichkeit, Te…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243917931?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=0AEEAE766F9F9EA2F701720957F3AC3FC7D74EAC,2022-06-20T13:33:24Z
